ts,asset_id,principal_type,mfa,device_compliant,network_trusted,geo_anomaly,action
2026-01-13T10:38:00,a074,workload,False,True,True,False,list
2026-01-01T14:10:00,a010,service,True,True,False,False,write
2026-01-18T09:59:00,a062,service,True,True,True,False,list
2026-01-12T05:36:00,a017,workload,True,True,False,False,admin
2026-01-20T10:07:00,a044,human,False,False,False,False,read
2026-01-09T05:43:00,a067,service,True,True,False,False,write
2026-01-15T10:53:00,a020,workload,True,True,True,False,list
2026-01-11T17:28:00,a007,workload,True,True,True,False,read
2026-01-01T09:22:00,a058,service,True,False,True,False,list
2026-01-14T09:19:00,a027,human,True,True,True,False,list
2026-01-04T22:12:00,a051,workload,True,False,True,False,admin
2026-01-08T18:49:00,a051,service,True,False,True,False,read
2026-01-04T01:20:00,a027,workload,False,False,False,False,read
2026-01-01T05:56:00,a030,workload,False,True,True,False,write
2026-01-04T13:41:00,a053,workload,True,False,False,False,delete_attempt
2026-01-12T17:46:00,a034,service,True,True,True,False,write
2026-01-02T21:00:00,a016,workload,True,True,True,False,admin
2026-01-18T00:49:00,a010,service,True,True,True,False,write
2026-01-18T18:45:00,a011,workload,True,True,True,False,list
2026-01-08T01:42:00,a040,workload,True,True,True,False,list
2026-01-16T15:14:00,a009,human,True,True,True,False,read
2026-01-01T06:44:00,a056,workload,True,True,True,False,read
2026-01-15T00:27:00,a026,human,True,True,True,False,list
2026-01-13T15:25:00,a050,service,True,True,True,False,list
2026-01-13T19:22:00,a035,workload,True,True,False,False,write
2026-01-03T03:33:00,a079,human,True,True,True,False,admin
2026-01-17T00:26:00,a075,human,True,True,False,False,read
2026-01-19T17:36:00,a043,workload,False,True,True,False,admin
2026-01-08T12:59:00,a061,workload,True,True,True,False,write
2026-01-13T01:23:00,a077,human,True,True,True,False,delete_attempt
2026-01-05T15:53:00,a048,service,True,True,True,False,list
2026-01-07T19:00:00,a068,service,True,True,True,False,write
2026-01-17T06:41:00,a066,service,False,True,False,False,write
2026-01-04T02:25:00,a010,human,True,True,True,False,list
2026-01-11T12:52:00,a034,human,True,True,True,False,delete_attempt
2026-01-02T10:43:00,a071,service,False,True,False,False,list
2026-01-04T07:32:00,a076,human,False,True,True,False,delete_attempt
2026-01-19T21:42:00,a046,human,True,True,True,True,write
2026-01-08T00:01:00,a017,service,False,False,True,False,read
2026-01-05T12:58:00,a020,workload,True,True,True,False,write
2026-01-12T19:51:00,a043,human,True,True,True,False,read
2026-01-10T04:11:00,a018,workload,True,True,True,False,delete_attempt
2026-01-18T02:32:00,a052,workload,True,False,False,False,admin
2026-01-03T16:05:00,a055,service,True,False,True,False,admin
2026-01-08T07:08:00,a003,human,True,True,True,False,list
2026-01-14T12:05:00,a039,human,True,False,True,False,read
2026-01-16T19:30:00,a060,human,True,True,True,False,write
2026-01-17T15:06:00,a008,service,True,True,True,False,admin
2026-01-03T18:59:00,a072,human,True,False,True,False,admin
2026-01-07T17:42:00,a000,human,True,True,True,False,admin
2026-01-10T00:57:00,a067,human,True,True,True,True,list
2026-01-08T09:08:00,a039,workload,True,True,False,False,write
2026-01-20T13:07:00,a037,service,False,True,False,False,admin
2026-01-04T21:52:00,a002,service,False,False,True,False,write
2026-01-15T19:02:00,a006,human,True,False,False,False,admin
2026-01-08T14:55:00,a017,service,False,True,True,False,list
2026-01-17T04:02:00,a015,service,True,True,True,False,list
2026-01-19T06:56:00,a047,service,True,True,True,False,write
2026-01-07T07:11:00,a028,human,True,True,False,False,delete_attempt
2026-01-13T01:53:00,a009,human,True,True,True,False,delete_attempt
2026-01-04T17:50:00,a011,workload,False,True,True,False,read
2026-01-18T23:38:00,a023,human,False,True,True,False,admin
2026-01-12T09:00:00,a000,human,True,True,True,False,admin
2026-01-12T18:12:00,a004,workload,True,False,True,False,delete_attempt
2026-01-14T12:20:00,a022,human,True,True,True,False,list
2026-01-06T21:49:00,a030,workload,True,False,True,False,write
2026-01-17T06:19:00,a076,human,True,False,True,False,read
2026-01-12T06:56:00,a077,workload,True,True,False,True,read
2026-01-13T22:41:00,a022,service,True,False,True,False,list
2026-01-01T23:06:00,a054,service,True,True,True,False,delete_attempt
2026-01-03T00:19:00,a063,service,False,True,True,False,delete_attempt
2026-01-02T09:23:00,a058,workload,True,True,True,False,read
2026-01-12T03:21:00,a016,service,False,True,True,False,read
2026-01-06T11:24:00,a000,workload,False,True,True,False,admin
2026-01-01T18:42:00,a009,service,False,True,False,False,list
2026-01-13T13:24:00,a015,human,True,True,True,False,delete_attempt
2026-01-01T21:40:00,a027,human,True,True,True,False,delete_attempt
2026-01-11T12:38:00,a022,workload,False,True,True,True,admin
2026-01-06T14:36:00,a044,human,False,False,True,False,delete_attempt
2026-01-18T06:50:00,a059,workload,True,True,True,False,admin
2026-01-13T07:05:00,a026,workload,True,True,True,False,delete_attempt
2026-01-12T19:23:00,a002,human,True,True,True,False,write
2026-01-03T08:28:00,a034,workload,True,True,False,False,write
2026-01-01T11:08:00,a015,workload,False,True,False,False,list
2026-01-16T05:29:00,a066,human,True,True,True,False,delete_attempt
2026-01-03T21:42:00,a076,human,True,True,True,False,delete_attempt
2026-01-06T22:12:00,a070,workload,True,True,True,False,list
2026-01-17T05:15:00,a068,workload,True,True,False,False,list
2026-01-08T20:23:00,a047,service,True,True,True,False,delete_attempt
2026-01-19T09:41:00,a001,service,True,True,False,False,list
2026-01-18T15:06:00,a015,workload,True,True,True,False,admin
